column,file_name
hh_gave_care_sn_2,sharew8_rel9-0-0_gv_networks.dta
hh_gave_care_sn_3,sharew8_rel9-0-0_gv_networks.dta
hh_gave_care_sn_4,sharew8_rel9-0-0_gv_networks.dta
hh_gave_care_sn_5,sharew8_rel9-0-0_gv_networks.dta
hh_gave_care_sn_6,sharew8_rel9-0-0_gv_networks.dta
hh_gave_care_sn_7,sharew8_rel9-0-0_gv_networks.dta
hh_receive_care_sn_1,sharew8_rel9-0-0_gv_networks.dta
hh_receive_care_sn_2,sharew8_rel9-0-0_gv_networks.dta
hh_receive_care_sn_3,sharew8_rel9-0-0_gv_networks.dta
hh_receive_care_sn_4,sharew8_rel9-0-0_gv_networks.dta
hh_receive_care_sn_5,sharew8_rel9-0-0_gv_networks.dta
hh_receive_care_sn_6,sharew8_rel9-0-0_gv_networks.dta
hh_receive_care_sn_7,sharew8_rel9-0-0_gv_networks.dta
sn_child_loop_1,sharew8_rel9-0-0_gv_networks.dta
sn_child_loop_2,sharew8_rel9-0-0_gv_networks.dta
sn_child_loop_3,sharew8_rel9-0-0_gv_networks.dta
sn_child_loop_4,sharew8_rel9-0-0_gv_networks.dta
sn_child_loop_5,sharew8_rel9-0-0_gv_networks.dta
sn_child_loop_6,sharew8_rel9-0-0_gv_networks.dta
sn_child_loop_7,sharew8_rel9-0-0_gv_networks.dta
sn_childid_1,sharew8_rel9-0-0_gv_networks.dta
sn_childid_2,sharew8_rel9-0-0_gv_networks.dta
sn_childid_3,sharew8_rel9-0-0_gv_networks.dta
sn_childid_4,sharew8_rel9-0-0_gv_networks.dta
sn_childid_5,sharew8_rel9-0-0_gv_networks.dta
sn_childid_6,sharew8_rel9-0-0_gv_networks.dta
sn_childid_7,sharew8_rel9-0-0_gv_networks.dta
month,sharew8_rel9-0-0_gv_accelerometer_hour.dta
year,sharew8_rel9-0-0_gv_accelerometer_hour.dta
weekday,sharew8_rel9-0-0_gv_accelerometer_hour.dta
measurementday,sharew8_rel9-0-0_gv_accelerometer_hour.dta
hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_N_valid_hours_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_N_valid_hours_day,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_N_valid_days,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_N_valid_hours_day,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_N_valid_days,sharew8_rel9-0-0_gv_accelerometer_hour.dta
OxCGRT_stay_at_home,sharew8_rel9-0-0_gv_accelerometer_hour.dta
OxCGRT_stringency_index,sharew8_rel9-0-0_gv_accelerometer_hour.dta
device_id,sharew8_rel9-0-0_gv_accelerometer_hour.dta
frequency,sharew8_rel9-0-0_gv_accelerometer_hour.dta
position,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_QC_day,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_NoSleepInt_day,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_NoWalk_day,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_TooMuchBedtime_day,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_TooMuchOther_day,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_TooMuchStair_day,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_Bedtime_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_LieStill_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_Sleep_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_SleepInterval_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_Lie_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_Sit_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_Stand_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_Move_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_Walk_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_Run_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_Stair_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_Cycle_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_Other_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_NonWear_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
ActiPASS_Steps_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_mean_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_0_25_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_25_50_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_50_75_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_75_100_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_100_125_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_125_150_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_150_175_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_175_200_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_200_225_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_225_250_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_250_275_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_275_300_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_300_325_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_325_350_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_350_375_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_375_400_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_400_425_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_425_450_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_450_475_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_475_500_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_500_525_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_525_550_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_550_575_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_575_600_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_600_625_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_625_650_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_650_675_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_675_700_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_700_725_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_725_750_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_750_775_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_775_800_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
GGIR_800_825_ENMO_hour,sharew8_rel9-0-0_gv_accelerometer_hour.dta
