column,file_name,is_valid
ep127_5,sharew6_rel9-0-0_ep.dta,True
ep127_6,sharew6_rel9-0-0_ep.dta,True
ep127_7,sharew6_rel9-0-0_ep.dta,True
ep127_8,sharew6_rel9-0-0_ep.dta,True
ep127_9,sharew6_rel9-0-0_ep.dta,True
ep127_10,sharew6_rel9-0-0_ep.dta,True
ep127_11,sharew6_rel9-0-0_ep.dta,True
ep127_12,sharew6_rel9-0-0_ep.dta,True
ep127_21,sharew6_rel9-0-0_ep.dta,True
ep127_22,sharew6_rel9-0-0_ep.dta,True
ep127_23,sharew6_rel9-0-0_ep.dta,True
ep127_24,sharew6_rel9-0-0_ep.dta,True
ep127_25,sharew6_rel9-0-0_ep.dta,True
ep127_26,sharew6_rel9-0-0_ep.dta,True
ep127_27,sharew6_rel9-0-0_ep.dta,True
ep127_28,sharew6_rel9-0-0_ep.dta,True
ep127_29,sharew6_rel9-0-0_ep.dta,True
ep127_30,sharew6_rel9-0-0_ep.dta,True
ep127_31,sharew6_rel9-0-0_ep.dta,True
ep127_32,sharew6_rel9-0-0_ep.dta,True
ep128_1,sharew6_rel9-0-0_ep.dta,True
ep128_2,sharew6_rel9-0-0_ep.dta,True
ep128_3,sharew6_rel9-0-0_ep.dta,True
ep128_4,sharew6_rel9-0-0_ep.dta,True
ep128_5,sharew6_rel9-0-0_ep.dta,True
ep128_6,sharew6_rel9-0-0_ep.dta,True
ep128_7,sharew6_rel9-0-0_ep.dta,True
ep128_8,sharew6_rel9-0-0_ep.dta,True
ep128_9,sharew6_rel9-0-0_ep.dta,True
ep128_10,sharew6_rel9-0-0_ep.dta,True
ep128_11,sharew6_rel9-0-0_ep.dta,True
ep128_12,sharew6_rel9-0-0_ep.dta,True
ep128_21,sharew6_rel9-0-0_ep.dta,True
ep128_22,sharew6_rel9-0-0_ep.dta,True
ep128_23,sharew6_rel9-0-0_ep.dta,True
ep128_24,sharew6_rel9-0-0_ep.dta,True
ep128_25,sharew6_rel9-0-0_ep.dta,True
ep128_26,sharew6_rel9-0-0_ep.dta,True
ep128_27,sharew6_rel9-0-0_ep.dta,True
ep128_28,sharew6_rel9-0-0_ep.dta,True
ep128_29,sharew6_rel9-0-0_ep.dta,True
ep128_30,sharew6_rel9-0-0_ep.dta,True
ep128_31,sharew6_rel9-0-0_ep.dta,True
ep128_32,sharew6_rel9-0-0_ep.dta,True
ep129_1,sharew6_rel9-0-0_ep.dta,True
ep129_2,sharew6_rel9-0-0_ep.dta,True
ep129_3,sharew6_rel9-0-0_ep.dta,True
ep129_4,sharew6_rel9-0-0_ep.dta,True
ep129_5,sharew6_rel9-0-0_ep.dta,True
ep129_6,sharew6_rel9-0-0_ep.dta,True
ep129_7,sharew6_rel9-0-0_ep.dta,True
ep129_8,sharew6_rel9-0-0_ep.dta,True
ep129_9,sharew6_rel9-0-0_ep.dta,True
ep129_10,sharew6_rel9-0-0_ep.dta,True
